Person	Age(years)
person_1	2
person_2	20
person_3	13
person_4	74
person_5	11
person_6	3
person_7	92
person_8	14
person_9	23
person_10	26
person_11	27
person_12	34
person_13	34
person_14	37
person_15	17
person_16	12
person_17	12
person_18	56
person_19	53
person_20	48
person_21	37
person_22	49
person_23	52
person_24	58
person_25	67
person_26	72
person_27	13
person_28	42
person_29	11
person_30	4
person_31	18
person_32	27
person_33	94
person_34	83
person_35	82
person_36	88
person_37	12
person_38	16
person_39	62
person_40	68
person_41	34
person_42	73
person_43	81
person_44	19
person_45	23
person_46	25
person_47	3
person_48	1
person_49	34
person_50	32
person_51	15
person_52	18
person_53	41
person_54	15
person_55	73
person_56	28
person_57	76
person_58	79
person_59	28
person_60	18
person_61	3
person_62	93
person_63	83
person_64	18
person_65	17
person_66	21
person_67	13
person_68	91
person_69	90
person_70	12
person_71	82
person_72	73
person_73	16
person_74	11
person_75	7
person_76	56
person_77	42
person_78	49
person_79	38
person_80	59
person_81	73
person_82	16
person_83	78
person_84	41
person_85	6
person_86	13
person_87	18
person_88	4
person_89	28
person_90	31
person_91	39
person_92	68
person_93	95
person_94	14
person_95	28
person_96	31
person_97	20
person_98	40
person_99	57
person_100	5
